,time,order,order_kind,function_code,order_price,order_volume
10382,145700290,18402158,0,B,22500,20000
10383,145700550,18402529,0,S,22400,6000
10384,145700650,18402679,0,S,22500,5000
10385,145700840,18402900,0,B,22300,500
10386,145701000,18403089,0,B,22900,2500
10387,145705040,18407305,0,B,23100,100
10388,145705100,18407431,0,S,22100,45400
10389,145710090,18411549,0,B,22500,1000
10390,145715960,18415688,0,B,22400,100
10391,145717550,18416820,0,B,22400,9200
10392,145719420,18418221,0,B,22500,2600
10393,145725160,18422057,0,S,22300,900
10394,145726330,18422773,0,B,22400,4500
10395,145728300,18423999,0,B,22500,20000
10396,145728870,18424356,0,B,22400,13000
10397,145729000,18424428,0,B,22500,200
10398,145730480,18425404,0,S,22500,900
10399,145730500,18425411,0,S,22200,2000
10400,145732060,18426471,0,S,21800,400
10401,145733030,18427095,0,B,22400,1500
10402,145735570,18428640,0,S,22600,1000
10403,145739530,18430938,0,S,22300,15000
10404,145739940,18431182,0,S,22400,2000
10405,145740150,18431310,0,B,22400,10000
10406,145741950,18432308,0,B,22400,100
10407,145750400,18436993,0,S,22500,3000
10408,145751220,18437439,0,B,22400,10000
10409,145751620,18437629,0,S,22300,8700
10410,145756730,18440179,0,S,22500,5400
10411,145759970,18441795,0,S,22400,500
10412,145800240,18441953,0,B,22900,13800
10413,145800550,18442126,0,B,22400,300
10414,145802640,18443121,0,S,22400,2000
10415,145806580,18444974,0,S,24000,20000
10416,145809080,18446083,0,B,22400,1400
10417,145816940,18449850,0,S,22400,10000
10418,145820850,18451637,0,B,22400,5000
10419,145821160,18451769,0,S,22500,10000
10420,145829290,18455441,0,S,21900,10800
10421,145830870,18456195,0,B,22400,8000
10422,145831410,18456421,0,S,22500,2000
10423,145832150,18456758,0,B,22500,20000
10424,145834990,18458023,0,S,21900,900
10425,145837180,18458930,0,B,22400,10000
10426,145846650,18462889,0,S,22400,2000
10427,145852710,18465332,0,B,22500,50000
10428,145855240,18466345,0,B,22400,1200
10429,145855320,18466369,0,B,22500,3000
10430,145857180,18467083,0,B,22500,25900
10431,145900350,18468317,0,S,20300,1000
10432,145900350,18468319,0,S,20300,1000
10433,145900350,18468325,0,S,20300,1000
10434,145900360,18468334,0,S,20300,1000
10435,145900460,18468372,0,S,20300,1000
10436,145900480,18468375,0,S,20300,900
10437,145900600,18468411,0,S,20300,1000
10438,145900600,18468413,0,S,20300,1000
10439,145900680,18468464,0,S,20300,500
10440,145910210,18472542,0,B,22400,1000
10441,145912710,18473576,0,B,22300,1000
10442,145913260,18473790,0,B,22400,2000
10443,145915400,18474620,0,S,22500,2700
10444,145917140,18475389,0,S,22400,4400
10445,145917460,18475539,0,B,22600,372000
10446,145920770,18476994,0,B,22500,6300
10447,145924320,18478512,0,B,22000,10000
10448,145924750,18478679,0,S,22500,10000
10449,145927710,18479841,0,B,22300,5000
10450,145932060,18481560,0,B,22500,7800
10451,145936200,18483261,0,S,22400,1000
10452,145936680,18483425,0,S,22400,40000
10453,145943230,18485887,0,B,22500,100
10454,145952690,18489625,0,B,23000,23900
10455,145952760,18489642,0,S,22600,1200
10456,145956040,18490974,0,B,22400,1000
10457,145958750,18491995,0,S,22500,34300
10458,145959930,18492488,0,S,22400,800
